skill_id,skill
150,Applied Science
163,Art
322,Business
548,Computer Science
714,Data Science
752,Decision Theory
949,Engineering
1309,Humanities
1397,Information Technology
1544,Language Learning
1571,Life Science
1602,Logic
1700,Mathematics
1880,Natural Science
2148,Physical Science
2611,Social Science
2703,Statistics
2774,Systems Theory
2831,Theoretical Computer Science
69,Agronomy
146,Applied Linguistics
147,Applied Mathematics
148,Applied Physics
158,Architecture
563,Computing Technology
886,Education
913,Electronics
947,Energy Technology
979,Environmental Science
1112,Forensic Science
1267,Health Science
1645,Management
1768,Microtechnology
1779,Military Science
2661,Space Science
2664,Spatial Science
775,Design
21,Accountancy
22,Accounting
326,Business Analytics
332,Business Essentials
349,Business Strategy
779,Development
3077,eCommerce Platforms
881,Economics
969,Entrepreneurship
1069,Finance
1304,Human Resource Management
1554,Leadership
1674,Marketing
2039,Organizational Studies
2265,Property
2419,Retail
2476,Sales
79,Algorithm
165,Artificial Intelligence
259,Big Data
500,Communication
502,Communication and Security
516,Compiler
520,Complexity
539,Computer Architecture
545,Computer Graphics
571,Concurrent System
721,Data Structure
732,Database
815,Discrete Mathematics
828,Distributed System
1692,Mathematical Foundations
2070,Parallel System
2252,Programming Language
2496,Scienfitic Computing
2631,Software Development
2634,Software Engineering
2832,Theory of Computation
2963,Virtualization
692,Data Analysis
1627,Machine Learning
2218,Probability
772,Descriptive Decision Theory
1942,Normative Decision Theory
53,Aerospace Engineering
64,Agricultural Engineering
145,Applied Engineering
273,Bioengineering
278,Biological Engineering
402,Ceramic Engineering
414,Chemical Engineering
425,Civil Engineering
542,Computer Engineering
898,Electrical Engineering
902,Electromechanical Engineering
912,Electronic and Electrical Engineering
950,Engineering Physics
952,Engineering Technology
1372,Industrial Engineering
1386,Information Engineering
1542,Language Engineering
1664,Marine Engineering
1686,Materials Engineering
1711,Mechanical Engineering
1773,Military Engineering
1786,Mining Engineering
1945,Nuclear Engineering
2180,Polymer Engineering
2525,Security Engineering
2771,Systems Engineering
444,Cloud Computing
702,Data Management
1913,Network and Information Security
1915,Networking
2008,Operations
2523,Security
2627,Software Application
2747,Support
109,Animal Health
237,Basic Science
271,Biochemistry
279,Biology
301,Botany
861,Ecology
1264,Health Informatics
1268,Healthcare
1741,Microbiology
1959,Nutrition
2099,Patient Care
2285,Psychology
2295,Public Health
3072,Zoology
1114,Formal Logic
1383,Informal Logic
1694,Mathematical Logic
2310,Pure Mathematics
177,Astronomy
416,Chemistry
855,Earth Science
1178,Geology
1738,Meteorology
1977,Oceanography
2151,Physics
2752,Sustainability
117,Anthropology
471,Cognitive Science
663,Cultural Studies
764,Demography
784,Development Studies
980,Environmental Studies
1100,Folkloristics
1157,Gender and Sexuality Studies
1175,Geography
1186,Gerontology
1291,History
1374,Industrial Relations
1390,Information Science
1448,International Studies
1550,Law
1561,Legal Management
1569,Library Science
1581,Linguistics
1723,Media Studies
2129,Philosophy
2158,Planning
2170,Policy
2176,Political Science
2202,Presenting
2289,Public Administration
2401,Religious Studies
2495,Science and Technology Studies
2614,Social Work
2620,Sociology
2753,Sustainability Studies
2755,Sustainable Development
1,.NET
6,A/B Testing
25,Accounting and Finance
27,Accoustical Engineering
29,Active Listening
30,Ad Design
31,Ada
